routine_name,day_of_week,exercise_name,muscle_group,sets,reps
Upper/Lower Hybrid 5-Day,Monday,Barbell Bench Press,Chest,4,4-6
Upper/Lower Hybrid 5-Day,Monday,Weighted Pull-Ups,Back,4,4-6
Upper/Lower Hybrid 5-Day,Monday,Barbell Overhead Press,Shoulders,3,5-7
Upper/Lower Hybrid 5-Day,Monday,Chest-Supported Row,Back,3,6-8
Upper/Lower Hybrid 5-Day,Monday,Cable Triceps Pushdown,Triceps,3,10-12
Upper/Lower Hybrid 5-Day,Monday,Barbell Curl,Biceps,3,8-10

Upper/Lower Hybrid 5-Day,Tuesday,Barbell Back Squat,Quads,4,4-6
Upper/Lower Hybrid 5-Day,Tuesday,Barbell Romanian Deadlift,Hamstrings,4,5-7
Upper/Lower Hybrid 5-Day,Tuesday,Leg Press,Quads,3,8-10
Upper/Lower Hybrid 5-Day,Tuesday,Seated Leg Curl,Hamstrings,3,10-12
Upper/Lower Hybrid 5-Day,Tuesday,Standing Calf Raise,Calves,4,10-15

Upper/Lower Hybrid 5-Day,Wednesday,Incline Dumbbell Press,Chest,3,8-12
Upper/Lower Hybrid 5-Day,Wednesday,Lat Pulldown,Back,3,8-12
Upper/Lower Hybrid 5-Day,Wednesday,Seated Dumbbell Shoulder Press,Shoulders,3,8-12
Upper/Lower Hybrid 5-Day,Wednesday,Cable Row,Back,3,10-12
Upper/Lower Hybrid 5-Day,Wednesday,Lateral Raises,Shoulders,4,12-15
Upper/Lower Hybrid 5-Day,Wednesday,Overhead Triceps Extension,Triceps,3,10-12
Upper/Lower Hybrid 5-Day,Wednesday,Incline Dumbbell Curl,Biceps,3,10-12

Upper/Lower Hybrid 5-Day,Thursday,Conventional Deadlift,Posterior Chain,3,3-5
Upper/Lower Hybrid 5-Day,Thursday,Bulgarian Split Squat,Quads/Glutes,3,8-10
Upper/Lower Hybrid 5-Day,Thursday,Hip Thrust,Glutes,3,8-12
Upper/Lower Hybrid 5-Day,Thursday,Lying Leg Curl,Hamstrings,3,10-12
Upper/Lower Hybrid 5-Day,Thursday,Seated Calf Raise,Calves,4,12-15

Upper/Lower Hybrid 5-Day,Friday,Machine Chest Press,Chest,3,10-12
Upper/Lower Hybrid 5-Day,Friday,T-Bar Row,Back,3,8-12
Upper/Lower Hybrid 5-Day,Friday,Pec Deck Fly,Chest,3,12-15
Upper/Lower Hybrid 5-Day,Friday,Face Pulls,Rear Delts,3,12-15
Upper/Lower Hybrid 5-Day,Friday,Cable Lateral Raise,Shoulders,3,12-15
Upper/Lower Hybrid 5-Day,Friday,Skull Crushers,Triceps,3,8-12
Upper/Lower Hybrid 5-Day,Friday,Preacher Curl,Biceps,3,8-12